ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
TOL,0.015309030735153502,65,1,5,0.25,0.1887
TOMZ,-0.018340497578748463,54,1,2,0.6,0.2498
TONX,0.023231337341452565,68,0,0,0.7,0.2395
TOON,-0.16587166190041985,16,1,14,0.7,0.5257
TOP,1.3116648637454902,99,0,0,0.0,0.0
TOPP,-0.24308048800971757,10,1,14,0.9,
TOPS,-0.46647138311960723,2,1,94,1.0,0.872
TORO,0.006413122490648182,62,1,12,0.9,
TOST,0.11947628082281009,85,0,0,0.4,0.2581
TOUR,-0.14254762361374432,19,1,32,1.0,0.3577
TOVX,-0.15361775682770368,18,1,18,0.9,
TOWN,-0.010113678243142021,57,1,3,0.3,0.1069
TOYO,-0.5347260642490428,2,1,23,1.0,0.6438
TPB,-0.006893626749685043,58,0,0,0.4,0.439
TPC,-0.051709136559857094,38,1,4,0.35,0.2537
TPCS,0.26749456472504896,93,0,0,0.35,0.1331
TPET,-0.2836665804493833,7,1,3,0.95,
TPG,-0.03599419558724062,46,0,0,0.45,0.4061
TPL,-0.009347261583431202,58,1,3,0.55,0.3576
TPR,-0.05859440791204289,36,1,3,0.4,0.1992
TPST,-0.3910285935332241,4,1,38,1.0,0.7123
TPVG,-0.144332917278499,19,1,6,0.85,0.3002
TR,-0.10782509924103666,25,1,5,0.7,0.2543
TRAK,-0.09030309778257639,28,1,5,0.9,0.2943
TRAW,-0.5479506002894808,2,1,36,1.0,0.753
TRC,-0.1120210057470837,25,1,9,0.95,0.1992
TRDA,-0.09876219202875205,27,1,3,0.4,
TREE,0.1467037083190131,87,0,0,0.3,0.393
TREX,0.07932131866457195,79,1,3,0.15,0.0841
TRGP,0.02842577543557627,69,0,0,0.45,0.0802
TRI,0.008288648629918433,63,0,0,0.55,0.3433
TRIB,-0.44526106943648674,3,1,17,0.9,0.6198
TRIN,0.03631164988155097,71,0,0,0.1,0.0287
TRIP,0.18567154050420043,90,0,0,0.0,0.1389
TRLV,-0.10754864816141821,25,1,5,0.7,0.3524
TRMB,-0.12307033678133647,22,1,3,0.85,0.4012
TRMD,-0.06564270946825213,34,0,0,0.8,0.1728
TRMK,-0.011032161893683522,57,1,3,0.3,0.0783
TRN,-0.020211123937385212,53,0,0,0.3,0.0779
TRNO,0.009934572179961076,63,0,0,0.3,0.0413
TRNR,-0.5941283188267215,1,1,7,0.95,0.9659
TRNS,0.014659529413644186,65,1,4,0.25,0.0744
TRON,-0.3276383761683536,5,1,31,1.0,0.5348
TROO,-0.2654478903266757,8,1,28,1.0,0.6223
TROW,0.12450322101986105,85,0,0,0.0,0.0229
TROX,-0.2615332285481237,8,1,18,0.95,0.4569
TRP,-0.019092527561415648,54,1,2,0.6,0.094
TRS,-0.027817494378209826,50,1,6,0.3,0.103
TRSG,-0.009909563347907678,57,1,7,0.35,0.1381
TRST,0.031222611558004612,70,1,1,0.2,0.0453
TRT,0.027361973692029667,69,1,12,0.75,
TRTX,-0.003890828153952537,59,0,0,0.25,0.1125
TRU,0.019133627022179203,66,0,0,0.45,0.2043
TRUG,-0.40113632010804556,4,1,4,0.95,0.8906
TRUP,0.054167842318650836,75,0,0,0.0,0.3538
TRV,0.08985794396340313,81,0,0,0.0,0.0262
TRVG,0.38628577081048143,96,0,0,0.05,0.038
TRVI,0.24979167035421485,93,0,0,0.05,0.0939
TRX,-0.3298389352663543,5,1,61,1.0,0.6686
TS,-0.11506271892455311,24,1,18,0.9,0.1856
TSAT,-0.16731970965886386,16,1,7,0.9,0.2954
TSBK,-0.02563673671150384,51,1,3,0.2,0.1021
TSCO,-0.10140808505137375,26,1,5,0.65,0.497
TSEM,-0.0203805856970642,53,1,10,0.5,0.3068
TSHA,0.1006317350305701,82,1,1,0.2,0.1264
TSI,-0.047121675099437,39,1,8,0.7,0.1663
TSLA,-0.008443361395458537,58,1,4,0.8,0.1762
TSLX,-0.04046173424622719,42,0,0,0.55,0.2749
TSM,0.019665010417783457,67,1,4,0.25,0.1009
TSN,-0.09776646438743769,27,1,5,0.85,0.2363
TSQ,0.020070631789699395,67,1,3,0.45,0.1784
TSSI,-0.12385612159840702,22,1,13,0.9,0.3552
TT,-0.01605596267858573,55,1,4,0.3,0.0785
TTAM,0.040584257074016625,72,1,4,0.2,0.1769
TTAN,0.13955837014586475,86,0,0,0.5,0.3308
TTC,-0.04850742359451764,39,1,4,0.35,0.1616
