code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00365,90.0,26,1,33,1.0,
HK.00366,46.0,48,1,15,0.75,0.2833
HK.00367,27.0,28,1,15,0.75,0.5538
HK.00368,98.0,97,1,14,0.7,
HK.00369,78.0,54,1,15,0.75,0.2864
HK.00370,2.0,8,1,12,0.65,
HK.00371,54.0,42,1,1,0.9,0.258
HK.00372,56.0,48,1,14,0.7,
HK.00373,53.0,33,1,21,1.0,0.3585
HK.00374,69.0,75,1,3,0.35,0.25
HK.00375,83.0,75,1,3,0.5,0.126
HK.00376,6.0,16,1,70,1.0,
HK.00377,94.0,97,0,0,0.15,
HK.00379,43.0,9,1,24,1.0,
HK.00380,35.0,20,1,17,0.85,0.3515
HK.00381,1.0,5,1,63,1.0,
HK.00382,3.0,11,1,69,1.0,0.8337
HK.00383,34.0,25,1,36,1.0,0.3997
HK.00384,29.0,30,1,28,1.0,0.3603
HK.00385,18.0,27,1,12,0.6,0.5036
HK.00386,66.0,72,0,0,0.55,0.3616
HK.00387,83.0,76,1,12,0.6,0.1627
HK.00388,59.0,76,0,0,0.2,0.0781
HK.00389,3.0,3,1,14,0.75,0.8181
HK.00390,50.0,70,0,0,0.75,0.2944
HK.00391,73.0,67,1,4,0.5,0.5354
HK.00392,66.0,84,0,0,0.05,0.1306
HK.00393,69.0,58,1,12,0.6,0.0939
HK.00396,96.0,89,0,0,0.6,
HK.00397,31.0,50,0,0,0.7,0.8016
HK.00398,68.0,65,1,12,0.6,0.2081
HK.00399,6.0,37,1,11,0.55,
HK.00400,92.0,93,1,10,0.5,0.3283
HK.00401,63.0,30,1,14,0.9,
HK.00403,60.0,66,0,0,0.65,0.4026
HK.00406,22.0,12,1,27,1.0,0.6828
HK.00408,88.0,89,0,0,0.2,0.0087
HK.00410,20.0,26,1,42,1.0,0.6638
HK.00411,59.0,49,1,11,0.65,0.1195
HK.00412,1.0,2,1,86,1.0,
HK.00413,19.0,23,1,8,0.6,0.6805
HK.00417,32.0,59,1,4,0.55,
HK.00418,40.0,57,1,4,0.6,0.5644
HK.00419,82.0,75,1,9,0.55,
HK.00420,66.0,39,1,11,0.55,0.2336
HK.00422,39.0,78,0,0,0.3,0.6816
HK.00423,50.0,45,1,11,0.7,0.3282
HK.00425,48.0,29,1,12,0.85,0.3421
HK.00426,90.0,40,1,9,0.65,
HK.00430,47.0,33,1,15,0.75,0.2904
HK.00432,69.0,30,1,21,1.0,0.3379
HK.00433,61.0,29,1,13,0.7,
HK.00434,7.0,51,0,0,0.85,0.7434
HK.00436,32.0,18,1,27,1.0,
HK.00438,14.0,32,1,18,0.95,0.7276
HK.00439,13.0,50,0,0,0.9,0.7738
HK.00440,85.0,85,0,0,0.1,0.0
HK.00442,35.0,26,1,15,0.9,0.6021
HK.00444,64.0,62,1,11,0.55,
HK.00450,49.0,53,1,14,0.7,0.4051
HK.00451,28.0,9,1,8,0.75,0.6011
HK.00455,42.0,88,0,0,0.45,0.7325
HK.00456,86.0,91,0,0,0.55,0.315
HK.00458,77.0,89,1,1,0.15,0.4487
HK.00460,14.0,37,1,5,0.65,0.4899
HK.00464,85.0,94,1,3,0.15,
HK.00465,99.0,98,0,0,0.85,
HK.00467,26.0,36,0,0,0.9,0.5528
HK.00468,64.0,62,1,11,0.55,0.3327
HK.00470,,6,1,37,1.0,0.4831
HK.00471,0.0,6,1,8,0.95,
HK.00472,48.0,15,1,15,0.9,
HK.00474,94.0,68,1,11,0.55,
HK.00475,50.0,41,1,12,0.6,
HK.00476,9.0,20,1,16,0.8,
HK.00480,62.0,46,1,1,0.6,0.3961
HK.00482,33.0,33,1,13,0.8,0.6912
HK.00483,22.0,34,0,0,0.9,0.5923
HK.00484,50.0,79,0,0,0.75,0.3742
HK.00485,88.0,74,1,11,0.55,0.1814
HK.00486,20.0,17,1,28,1.0,0.5187
HK.00487,18.0,39,1,1,0.45,
HK.00488,52.0,30,1,10,0.85,0.3637
HK.00491,22.0,39,0,0,0.8,
HK.00493,14.0,18,1,7,0.95,0.7807
HK.00495,64.0,62,1,11,0.55,
HK.00496,5.0,8,1,44,1.0,0.6548
HK.00497,54.0,29,1,16,0.8,0.2202
HK.00498,10.0,33,1,11,0.55,
HK.00499,91.0,90,0,0,0.35,
HK.00500,30.0,48,1,1,0.45,0.7971
HK.00505,46.0,39,1,4,0.55,0.4376
HK.00506,52.0,67,1,3,0.55,0.2613
HK.00508,28.0,10,1,19,0.95,0.5925
HK.00509,64.0,62,1,11,0.55,
HK.00510,84.0,92,1,1,0.15,
HK.00511,23.0,41,1,9,0.95,0.5213
HK.00512,22.0,69,1,1,0.35,0.4706
HK.00513,15.0,3,1,40,1.0,0.6331
HK.00515,45.0,62,1,11,0.55,
HK.00517,68.0,77,0,0,0.65,0.1758
HK.00518,53.0,20,1,15,0.75,0.392
HK.00519,60.0,78,1,1,0.3,
HK.00520,3.0,15,1,41,1.0,0.8576
HK.00521,67.0,31,1,16,0.8,0.3301
HK.00522,93.0,40,1,14,0.7,0.3672
HK.00524,98.0,99,1,9,0.6,
HK.00525,69.0,73,1,1,0.25,0.3226
HK.00526,87.0,50,1,10,0.55,0.6018
HK.00527,76.0,53,1,4,0.6,0.4074
HK.00528,77.0,85,0,0,0.45,0.299
HK.00529,60.0,54,1,13,0.65,0.3671
HK.00532,79.0,8,1,28,1.0,
HK.00533,50.0,43,1,12,0.75,0.5023
HK.00535,10.0,17,1,31,1.0,0.7916
HK.00536,81.0,76,1,10,0.55,0.0693
HK.00538,69.0,67,1,1,0.5,0.2894
HK.00540,79.0,41,1,16,0.8,
HK.00542,80.0,40,0,0,0.9,0.5452
HK.00543,39.0,36,1,6,0.45,0.4117
HK.00544,17.0,2,1,16,0.9,
HK.00546,19.0,43,1,12,0.95,0.4473
HK.00547,34.0,88,1,3,0.45,0.6292
HK.00548,60.0,76,0,0,0.2,0.3769
HK.00550,99.0,96,0,0,0.35,
HK.00551,60.0,55,1,3,0.9,0.3125
HK.00552,67.0,78,0,0,0.5,0.2534
HK.00553,17.0,20,1,24,1.0,0.4812
HK.00554,48.0,69,0,0,0.55,0.4791
HK.00556,89.0,69,1,10,0.55,0.5059
HK.00557,42.0,65,1,13,0.65,0.5587
HK.00558,3.0,2,1,46,1.0,0.7907
HK.00559,51.0,62,1,11,0.55,0.726
HK.00560,41.0,35,1,14,0.75,0.3624
HK.00563,29.0,31,1,13,0.9,0.6152
HK.00564,37.0,55,0,0,0.85,0.3458
HK.00565,93.0,77,1,4,0.4,0.1374
HK.00567,94.0,24,1,12,0.75,
HK.00568,83.0,91,0,0,0.45,
HK.00570,16.0,31,1,4,0.75,0.7734
HK.00571,29.0,23,1,3,0.85,0.5096
HK.00572,24.0,36,1,11,0.55,0.6218
HK.00573,37.0,40,1,10,0.65,0.7486
HK.00574,4.0,8,1,27,1.0,
HK.00575,86.0,92,0,0,0.1,
HK.00576,56.0,58,1,1,0.8,0.1063
HK.00579,46.0,66,1,13,0.7,0.1944
HK.00580,49.0,4,1,16,0.8,0.5392
HK.00581,42.0,54,0,0,0.8,0.4037
HK.00582,2.0,10,1,3,0.95,0.8935
HK.00583,41.0,28,1,18,0.95,0.5708
HK.00585,98.0,93,1,7,0.4,
HK.00586,39.0,26,1,12,0.6,0.3119
HK.00587,6.0,13,1,7,0.95,0.7626
HK.00588,36.0,31,1,19,0.95,0.3878
HK.00590,72.0,87,0,0,0.4,0.2069
HK.00591,55.0,92,0,0,0.2,0.4462
HK.00595,96.0,95,1,4,0.3,0.3851
HK.00596,11.0,59,1,11,0.95,0.7859
HK.00598,56.0,72,0,0,0.75,0.1237
HK.00599,34.0,46,1,8,0.5,0.4652
HK.00600,,7,1,47,1.0,0.6063
HK.00601,64.0,62,1,11,0.55,0.3312
HK.00602,71.0,69,0,0,0.55,
HK.00603,34.0,23,1,28,1.0,
HK.00604,33.0,40,1,1,0.9,0.5223
HK.00605,29.0,64,1,16,0.9,
HK.00606,60.0,38,0,0,0.85,0.3238
HK.00607,75.0,0,1,23,1.0,
HK.00608,41.0,65,1,4,0.4,0.4875
HK.00609,45.0,52,0,0,0.95,0.2861
HK.00610,76.0,78,0,0,0.2,0.2308
HK.00611,63.0,68,0,0,0.8,0.2288
HK.00613,95.0,97,0,0,0.0,0.0354
HK.00616,24.0,1,1,14,0.8,
HK.00617,19.0,29,1,29,1.0,0.8629
HK.00618,90.0,20,1,12,0.65,0.4792
HK.00619,62.0,64,0,0,0.7,
HK.00620,36.0,94,1,1,0.15,
HK.00621,61.0,58,1,23,1.0,0.52
HK.00622,97.0,92,0,0,0.55,0.0
HK.00623,55.0,55,1,12,0.6,0.336
HK.00626,67.0,58,1,11,0.55,0.4644
HK.00627,66.0,81,1,17,0.95,
HK.00628,69.0,6,1,15,0.95,0.552
HK.00629,33.0,18,1,13,0.8,0.3513
HK.00630,3.0,1,1,33,1.0,
HK.00631,42.0,40,0,0,0.75,0.4809
HK.00632,17.0,14,1,14,0.75,
HK.00635,53.0,40,1,15,0.75,0.3362
HK.00636,40.0,66,1,4,0.8,0.4247
HK.00637,61.0,38,1,10,0.55,
HK.00639,45.0,70,0,0,0.85,0.3092
HK.00640,73.0,53,1,12,0.65,0.093
HK.00641,82.0,38,1,15,0.75,0.2626
HK.00643,21.0,58,0,0,0.65,
HK.00645,87.0,53,1,6,0.6,
HK.00646,67.0,92,0,0,0.35,0.6298
HK.00648,0.0,0,1,15,0.75,
HK.00650,75.0,6,1,43,1.0,0.643
HK.00653,32.0,98,0,0,0.25,
HK.00655,91.0,93,0,0,0.85,0.162
HK.00656,53.0,82,0,0,0.3,0.3701
HK.00657,43.0,10,1,18,0.95,0.5112
HK.00658,16.0,10,1,24,1.0,0.5153
HK.00659,76.0,66,1,14,0.7,0.0699
HK.00660,93.0,5,1,36,1.0,
HK.00661,51.0,41,0,0,0.95,0.4971
HK.00662,75.0,57,1,11,0.6,0.1215
HK.00664,,9,1,30,1.0,0.5809
HK.00666,23.0,5,1,14,0.8,0.5533
HK.00667,24.0,55,1,4,0.5,0.5048
HK.00669,88.0,88,0,0,0.4,0.1516
HK.00670,39.0,30,1,17,0.85,0.4691
HK.00672,20.0,16,1,20,1.0,0.6307
