code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00308,47.0,63,1,9,0.45
HK.00309,14.0,28,1,2,0.75
HK.00311,90.0,93,0,0,0.1
HK.00312,9.0,6,1,3,0.6
HK.00313,38.0,76,0,0,0.45
HK.00314,23.0,84,0,0,0.2
HK.00315,69.0,55,0,0,0.95
HK.00316,86.0,90,0,0,0.15
HK.00317,36.0,62,0,0,0.7
HK.00318,93.0,73,1,8,0.85
HK.00320,48.0,30,1,36,1.0
HK.00321,75.0,30,1,37,1.0
HK.00322,84.0,89,0,0,0.35
HK.00323,25.0,61,0,0,0.8
HK.00325,82.0,97,0,0,0.0
HK.00326,95.0,84,1,5,0.3
HK.00327,60.0,89,0,0,0.15
HK.00328,2.0,9,1,32,1.0
HK.00329,5.0,10,1,8,0.8
HK.00330,15.0,72,1,1,0.55
HK.00331,54.0,44,1,8,0.95
HK.00332,3.0,4,1,37,1.0
HK.00333,36.0,70,0,0,0.25
HK.00334,26.0,15,1,8,0.95
HK.00335,69.0,63,0,0,0.7
HK.00336,40.0,70,0,0,0.7
HK.00337,14.0,30,1,3,0.95
HK.00338,45.0,60,0,0,0.85
HK.00340,90.0,98,0,0,0.05
HK.00341,81.0,81,1,5,0.35
HK.00343,23.0,39,0,0,0.8
HK.00345,55.0,55,0,0,0.85
HK.00346,11.0,7,1,23,1.0
HK.00347,16.0,45,0,0,0.85
HK.00348,22.0,83,1,4,0.45
HK.00351,48.0,6,1,21,1.0
HK.00352,48.0,50,1,8,0.95
HK.00353,79.0,75,0,0,0.25
HK.00354,41.0,83,0,0,0.45
HK.00355,74.0,84,0,0,0.05
HK.00357,22.0,80,1,3,0.15
HK.00358,87.0,88,0,0,0.25
HK.00360,7.0,2,1,60,1.0
HK.00361,14.0,57,1,1,0.9
HK.00362,66.0,50,1,8,0.95
HK.00363,59.0,64,0,0,0.5
HK.00365,69.0,4,1,57,1.0
HK.00366,57.0,68,0,0,0.45
HK.00367,29.0,32,1,2,0.75
HK.00368,99.0,98,1,2,0.3
HK.00369,73.0,54,0,0,0.85
HK.00370,3.0,6,1,36,1.0
HK.00371,13.0,2,1,25,1.0
HK.00372,25.0,23,1,39,1.0
HK.00373,55.0,35,1,8,0.65
HK.00374,60.0,40,1,28,1.0
HK.00375,58.0,22,1,28,1.0
HK.00376,29.0,92,0,0,0.5
HK.00377,98.0,99,0,0,0.15
HK.00379,28.0,18,1,2,0.45
HK.00380,50.0,67,0,0,0.3
HK.00381,4.0,7,1,87,1.0
HK.00382,4.0,27,1,93,1.0
HK.00383,37.0,22,1,61,1.0
HK.00384,25.0,31,1,1,0.75
HK.00385,34.0,34,0,0,0.95
HK.00386,75.0,81,0,0,0.6
HK.00387,80.0,29,1,36,1.0
HK.00388,70.0,75,0,0,0.3
HK.00389,88.0,98,0,0,0.0
HK.00390,51.0,53,1,19,0.95
HK.00391,96.0,98,0,0,0.0
HK.00392,57.0,60,1,1,0.8
HK.00393,70.0,56,1,1,0.75
HK.00396,96.0,92,0,0,0.0
HK.00397,43.0,69,0,0,0.75
HK.00398,70.0,60,0,0,0.75
HK.00399,18.0,50,1,8,0.95
HK.00400,88.0,63,0,0,0.9
HK.00401,67.0,61,0,0,0.35
HK.00403,76.0,86,0,0,0.1
HK.00406,34.0,43,1,1,0.65
HK.00408,88.0,82,1,1,0.05
HK.00410,16.0,20,1,66,1.0
HK.00411,60.0,45,1,1,0.7
HK.00412,3.0,85,0,0,0.7
HK.00413,21.0,24,1,11,0.6
HK.00417,56.0,74,0,0,0.45
HK.00418,38.0,32,1,28,1.0
HK.00419,89.0,96,0,0,0.05
HK.00420,80.0,77,1,1,0.35
HK.00422,45.0,41,0,0,0.8
HK.00423,51.0,53,1,2,0.75
HK.00425,35.0,71,0,0,0.55
HK.00426,84.0,22,1,33,1.0
HK.00430,44.0,27,1,8,0.95
HK.00432,57.0,46,1,2,0.65
HK.00433,40.0,63,0,0,0.7
HK.00434,51.0,94,0,0,0.25
HK.00436,37.0,33,1,7,0.6
HK.00438,10.0,12,1,3,0.8
HK.00439,16.0,77,1,2,0.2
HK.00440,87.0,77,0,0,0.3
HK.00442,16.0,15,1,1,0.7
HK.00444,66.0,50,1,8,0.95
HK.00450,53.0,56,1,4,0.75
HK.00451,20.0,2,1,32,1.0
HK.00455,61.0,87,0,0,0.1
